iter	RMSE
0	8.93048083
1	8.68543197
2	8.449992941
3	8.224173336
4	8.003116546
5	7.789111034
6	7.581770208
7	7.374262602
8	7.177997551
9	6.990486065
10	6.804099043
11	6.627851119
12	6.451298652
13	6.28583457
14	6.121351546
15	5.960701058
16	5.808141802
17	5.659611234
18	5.514800729
19	5.376926991
20	5.238855785
21	5.108689891
22	4.978804241
23	4.854313131
24	4.731424062
25	4.614167542
26	4.502269041
27	4.393631907
28	4.284353601
29	4.181964928
30	4.081338907
31	3.984430428
32	3.890824009
33	3.798560952
34	3.711510213
35	3.627890763
36	3.543788453
37	3.464237109
38	3.388618259
39	3.313848748
40	3.241611726
41	3.17102796
42	3.102873209
43	3.036406792
44	2.97243358
45	2.910582308
46	2.850582891
47	2.793273228
48	2.737504079
49	2.683679813
50	2.631750156
51	2.58071258
52	2.531745078
53	2.484260948
54	2.440256349
55	2.395358865
56	2.354002932
57	2.313085853
58	2.274057673
59	2.235048048
60	2.197921377
61	2.161678186
62	2.128584436
63	2.095521133
64	2.06224291
65	2.032556119
66	2.00298554
67	1.974249613
68	1.947207294
69	1.91812823
70	1.89310368
71	1.867572213
72	1.842058886
73	1.818091517
74	1.796171787
75	1.773859969
76	1.752183603
77	1.732574026
78	1.713287413
79	1.693325449
80	1.676155525
81	1.658352473
82	1.642276425
83	1.627086791
84	1.61205776
85	1.597418372
86	1.582573824
87	1.569026996
88	1.554830596
89	1.541793957
90	1.52860869
91	1.51601086
92	1.504470024
93	1.492830841
94	1.483060083
95	1.472945494
96	1.462800942
97	1.452153818
98	1.441966328
99	1.432814751
100	1.424438546
101	1.416680161
102	1.408919118
103	1.401387859
104	1.393728993
105	1.386203935
106	1.379408161
107	1.373759912
108	1.367242462
109	1.360656101
110	1.353989027
111	1.347983808
112	1.342320965
113	1.336580811
114	1.331660144
115	1.327033374
116	1.322172093
117	1.316959261
118	1.311869468
119	1.307288903
120	1.302394085
121	1.298319216
122	1.293908367
123	1.290112861
124	1.286920112
125	1.283234314
126	1.279507026
127	1.275820733
128	1.272313039
129	1.268644464
130	1.265352457
131	1.262164015
132	1.259339253
133	1.255871772
134	1.253360795
135	1.250821276
136	1.247187065
137	1.244209854
138	1.241626705
139	1.238962838
140	1.235871009
141	1.233227278
142	1.230879945
143	1.228537465
144	1.226149776
145	1.223881174
146	1.222226004
147	1.220277411
148	1.218451082
149	1.216517539
150	1.214077091
151	1.212190036
152	1.209615971
153	1.207886481
154	1.20586703
155	1.204053884
156	1.202280159
157	1.20019581
158	1.198723013
159	1.19734797
160	1.195799284
161	1.193870052
162	1.192210643
163	1.190783167
164	1.18957367
165	1.186998721
166	1.185414505
167	1.183548124
168	1.182307464
169	1.180928066
170	1.179820128
171	1.178338706
172	1.177398626
173	1.176389689
174	1.175033589
175	1.17408997
176	1.173214289
177	1.172058272
178	1.170462687
179	1.168988551
180	1.167843105
181	1.166161214
182	1.165032291
183	1.163818948
184	1.162735121
185	1.161619559
186	1.160797703
187	1.159806468
188	1.158562033
189	1.157512097
190	1.156671844
191	1.155566502
192	1.154724643
193	1.153844821
194	1.152654009
195	1.151071041
196	1.15032953
197	1.149377305
198	1.148653623
199	1.147761909
200	1.146763495
201	1.145991
202	1.14500462
203	1.144345849
204	1.143523105
205	1.142431607
206	1.141936637
207	1.141309854
208	1.140707336
209	1.140202208
210	1.139293665
211	1.138787636
212	1.137916692
213	1.137206658
214	1.136599583
215	1.135404354
216	1.134584243
217	1.133961751
218	1.1328355
219	1.13190518
220	1.131055527
221	1.130604148
222	1.129882554
223	1.129376865
224	1.128697323
225	1.128148571
226	1.127321193
227	1.126866434
228	1.126226574
