iter	Passed	Remaining
0	30	15413
1	60	14964
2	87	14482
3	115	14266
4	141	14051
5	170	14030
6	197	13877
7	223	13724
8	249	13591
9	275	13506
10	302	13444
11	327	13336
12	354	13270
13	380	13209
14	407	13173
15	434	13142
16	461	13098
17	487	13055
18	514	13022
19	541	12986
20	567	12954
21	594	12910
22	621	12879
23	647	12845
24	675	12833
25	703	12821
26	730	12797
27	757	12771
28	784	12741
29	811	12718
30	837	12675
31	864	12640
32	891	12613
33	917	12579
34	945	12561
35	972	12533
36	998	12498
37	1025	12463
38	1051	12428
39	1077	12393
40	1103	12357
41	1130	12323
42	1157	12301
43	1183	12266
44	1211	12246
45	1238	12219
46	1266	12208
47	1295	12196
48	1324	12187
49	1353	12177
50	1382	12172
51	1410	12153
52	1438	12132
53	1466	12115
54	1493	12085
55	1520	12055
56	1547	12024
57	1573	11990
58	1600	11963
59	1626	11928
60	1653	11900
61	1679	11867
62	1706	11836
63	1732	11805
64	1760	11781
65	1792	11786
66	1821	11770
67	1850	11759
68	1880	11745
69	1910	11733
70	1939	11716
71	1968	11699
72	1995	11669
73	2022	11640
74	2048	11609
75	2075	11579
76	2102	11547
77	2128	11517
78	2155	11486
79	2182	11457
80	2210	11433
81	2237	11408
82	2264	11374
83	2290	11344
84	2317	11313
85	2344	11284
86	2371	11257
87	2398	11229
88	2425	11199
89	2453	11177
90	2480	11148
91	2508	11124
92	2536	11101
93	2567	11089
94	2596	11067
95	2641	11114
96	2672	11105
97	2701	11079
98	2727	11048
99	2754	11016
100	2780	10984
101	2807	10955
102	2835	10928
103	2861	10897
104	2888	10866
105	2915	10836
106	2942	10806
107	2969	10777
108	2996	10749
109	3022	10717
110	3049	10686
111	3076	10657
112	3103	10627
113	3131	10602
114	3157	10572
115	3185	10545
116	3212	10516
117	3239	10487
118	3266	10457
119	3293	10428
120	3319	10398
121	3346	10367
122	3373	10339
123	3401	10315
124	3429	10287
125	3456	10259
126	3484	10235
127	3512	10208
128	3539	10179
129	3566	10150
130	3593	10122
131	3621	10095
132	3649	10069
133	3676	10043
134	3703	10012
135	3729	9981
136	3756	9953
137	3783	9923
138	3809	9893
139	3836	9865
140	3863	9836
141	3889	9807
142	3916	9776
143	3942	9747
144	3970	9720
145	3997	9692
146	4024	9663
147	4052	9637
148	4078	9608
149	4105	9579
150	4132	9550
151	4158	9521
152	4185	9492
153	4211	9462
154	4238	9433
155	4264	9404
156	4291	9375
157	4318	9347
158	4344	9318
159	4371	9288
160	4397	9259
161	4425	9232
162	4452	9205
163	4481	9181
164	4509	9155
165	4537	9129
166	4564	9102
167	4591	9073
168	4617	9043
169	4644	9015
170	4671	8987
171	4697	8958
172	4724	8930
173	4751	8901
174	4777	8872
175	4804	8844
176	4830	8815
177	4857	8787
178	4884	8759
179	4911	8730
180	4938	8703
181	4965	8675
182	4992	8647
183	5018	8619
184	5045	8590
185	5071	8562
186	5098	8534
187	5125	8506
188	5152	8478
189	5179	8450
190	5206	8422
191	5232	8393
192	5258	8364
193	5285	8336
194	5312	8308
195	5338	8280
196	5365	8253
197	5393	8225
198	5419	8197
199	5446	8169
200	5473	8141
201	5500	8115
202	5528	8088
203	5554	8059
204	5583	8034
205	5609	8006
206	5637	7979
207	5663	7951
208	5690	7923
209	5717	7894
210	5743	7866
211	5770	7838
212	5797	7811
213	5826	7786
214	5852	7758
215	5879	7730
216	5906	7702
217	5932	7674
218	5959	7646
219	5986	7618
220	6013	7591
221	6040	7563
222	6068	7537
223	6094	7509
224	6121	7481
225	6147	7453
226	6174	7425
227	6200	7397
228	6227	7369
